,413FM0J_sample001,YA4JE89_sample001,AI8K1H6_sample002,GM30XFD_sample003,YA4JE89_sample002,JD32HPP_sample005,AI8K1H6_sample001,413FM0J_sample002,128T8B4_sample025,UYX1M7A_sample004,2I1Y0Z9_sample001,2I1Y0Z9_sample002,Z9UVZX7_sample001,ZF8WDFS_sample005,0QJ6J2T_sample001,314Z52D_sample001,P7IG2M6_sample001,77SHGAG_sample002,77SHGAG_sample001,3RGFT20_sample004,IYRVLF5_sample001,H84559E_sample004,7F3ZM3T_sample001,F27B011_sample001,C5J912G_sample001,P7IG2M6_sample002,ERUH8Y4_sample001,Q15VFHB_sample002,3WR61X3_sample001,1KEQR84_sample002,91W7C88_sample003,K5LA59U_sample002,JD32HPP_sample003,1KEQR84_sample001,Z9UVZX7_sample004,IYRVLF5_sample002,I9178W9_sample001,GM30XFD_sample002,Z9UVZX7_sample002,5OCQITY_sample001,Q15VFHB_sample001,K5LA59U_sample001,2DZJ8RE_sample002,50RWL61_sample002,O697I0L_sample001,BV5W979_sample001,50RWL61_sample003,BV5W979_sample003,H84559E_sample001,UYX1M7A_sample003,JD32HPP_sample002,LPHTEXM_sample001,C18HPI3_sample003,H84559E_sample003,1KEQR84_sample003,BV5W979_sample002,UYX1M7A_sample005,3CA9B3H_sample001,K5LA59U_sample003,ZF8WDFS_sample007,GM30XFD_sample001,9M7H5EI_sample001,UYX1M7A_sample002,2DZJ8RE_sample001,91W7C88_sample002,Q15VFHB_sample004,128T8B4_sample029,50RWL61_sample001,C18HPI3_sample001,C18HPI3_sample002,BYPLWTE_sample001,IO8L3WL_sample001,JD32HPP_sample004,37F102B_sample001,7UV42I3_sample001,U05HLZY_sample001,37F102B_sample002,3RGFT20_sample001,ZF8WDFS_sample004,LPHTEXM_sample002,91W7C88_sample001,UYX1M7A_sample001,2W5JG33_sample080,91W7C88_sample004,JD32HPP_sample001,U05HLZY_sample002,O3F124I_sample001,BV5W979_sample004
SP4_MA0685.2,0,147,68,0,124,0,63,65,0,0,0,0,0,0,28,34,104,109,0,83,0,0,34,68,62,0,50,0,52,0,0,0,0,0,0,0,69,0,0,57,0,0,76,0,70,0,0,0,0,0,0,81,0,133,0,0,0,47,0,0,0,93,0,0,0,89,0,0,0,119,16,66,0,0,44,73,122,0,0,0,0,0,0,0,0,87,29,0
ANDR_ANDR_HUMAN.H11MO.0.A,0,0,0,0,0,0,0,46,0,0,0,0,0,0,18,54,0,46,0,60,0,0,0,65,46,0,57,0,0,0,0,0,0,0,0,0,58,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,35,0,158,0,0,71,0,0,0,0,0,0,16,0
SOX10_SOX10_HUMAN.H11MO.0.B,0,0,0,0,0,0,12,23,0,0,10,0,0,0,8,0,16,28,0,28,33,0,0,0,23,0,0,0,11,0,0,0,0,0,0,29,39,0,0,24,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,37,0,0,0,19,0,0,0,0,5,0,0,0,23,32,44,0,0,23,0,0,0,0,0,0,0,0
ZNF17_M07681_2.00,0,0,83,0,165,0,0,0,0,0,0,0,0,0,0,78,0,151,0,0,0,0,13,167,156,0,146,0,0,0,0,0,0,0,0,0,160,0,0,137,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,228,0,0,0,115,0,0,0,0,45,155,0,0,90,0,0,0,0,0,0,0,0,0,0,0,32,0
STA5B_STA5B_HUMAN.H11MO.0.A,0,0,0,0,17,0,0,0,0,0,3,0,0,0,0,7,0,0,0,17,24,0,0,0,0,0,15,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23,0,0,0,16,0,0,0,0,0,0,0,0
SREBF2_M08059_2.00,0,21,0,0,0,0,0,7,0,12,0,0,0,0,0,11,12,0,0,0,23,0,2,21,12,0,11,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,14,0,18,15,0,0,0,0,0,4,0,0,31,0,0,19,0,0,0,23,0,0,0,12,0,0,0,26,0,23,0,0,0,15,29,0,0,0,0,0,0,0,0,19,0,22
ZSCAN16_M08377_2.00,0,0,0,0,84,0,14,41,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,68,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,101,0,0,0,0,19,39,106,0,0,0,0,0,0,0,0,0,12,0
FOXM1_FOXM1_HUMAN.H11MO.0.A,21,35,0,0,31,0,0,13,0,14,0,7,0,0,0,0,15,0,0,0,0,0,0,0,0,18,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,7,0,0,0,0,18,0,0,22,0,0,14,20,0,19,17,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
FOSL2_M08064_2.00,0,0,0,29,21,0,0,7,0,0,0,0,0,0,0,0,18,0,0,7,0,0,0,21,20,17,20,0,0,0,0,0,0,0,0,0,22,0,0,18,0,0,19,0,24,0,19,0,0,0,0,0,0,0,0,0,0,20,0,0,38,25,0,0,0,13,0,0,0,0,0,26,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0
TEAD4_MA0809.2,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,14,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,0,0,23,0,0,0,0,23,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0
ZNF417_M07639_2.00,0,0,0,0,0,0,0,37,0,0,0,0,0,0,24,36,43,0,0,0,0,0,0,68,68,0,67,0,0,0,0,0,0,0,0,0,63,0,0,70,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,96,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
ZNF214_M08314_2.00,0,37,0,0,0,0,0,0,0,0,13,0,0,0,5,0,0,0,29,0,32,0,0,29,20,0,24,0,0,0,0,0,0,0,0,28,24,0,0,23,0,0,38,0,24,0,18,0,0,0,0,20,0,0,0,0,0,21,0,0,0,44,0,52,0,0,0,0,0,0,0,24,0,0,17,0,60,0,0,0,0,0,0,0,0,0,0,0
STAT1_M08171_2.00,17,0,0,0,0,0,0,10,0,0,6,0,0,0,0,0,0,3,0,11,0,0,0,10,16,0,14,0,0,0,0,0,0,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,6,0,0,0,21,0,0,0,0,0,0,0,25,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,4,0
ZNF783_M07757_2.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,20,45,60,0,37,0,0,20,50,52,0,47,0,28,0,0,0,0,0,0,0,45,0,0,41,0,39,29,0,44,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,57,0,0,0,31,0,0,0,60,0,44,0,0,39,43,51,0,0,0,0,0,0,0,0,0,20,0
SOX13_M08166_2.00,0,15,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,11,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,18,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,0,0,0,0,0,0,0,0,0,0,0
ZBTB7A_MA0750.2,0,0,0,0,43,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,46,41,0,0,0,23,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,41,0,36,0,0,0,0,0,0,60,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,36,0,0,0,0,52,0,0,0,0,0,0,0,0,0,14,0
ZBTB33_M08094_2.00,7,0,0,0,10,0,0,6,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,6,6,0,11,0,0,0,0,10,0,0,8,0,6,0,0,8,0,10,11,0,9,0,12,12,0,9,0,0,0,0,16,0,0,8,0,0,0,11,0,0,10,9,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
ZBTB26_M08340_2.00,0,333,70,0,301,0,66,80,0,0,0,0,0,0,52,76,0,203,0,0,158,0,31,131,106,0,111,0,47,0,0,0,0,0,0,155,117,0,0,90,0,0,133,0,138,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,208,0,0,0,0,0,0,0,0,29,132,0,0,70,0,237,0,0,0,0,0,0,0,0,0,46,0
FOXA2_MA0047.3,0,0,3,0,11,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,10,40,0,0,0,0,0,0,0,8,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,11,0,0,0,0,0,0,0,0
ZBTB33_MA0527.1,7,0,0,0,10,0,0,6,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,6,6,0,11,0,0,0,0,10,0,0,8,0,6,0,0,8,0,10,11,0,9,0,12,12,0,9,0,0,0,0,17,0,0,8,0,0,0,11,0,0,10,9,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
HNF1A_HNF1A_HUMAN.H11MO.0.C,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,11,0,4,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,24,0,0,7,0,0,0,0,0,3,0,32,6,0,0,9,7,0,0,25,0,0,11,0,0,0,0,23,0,11,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
ZBT14_ZBT14_HUMAN.H11MO.0.C,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,6,0,0,4,0,0,0,0,7,3,5,0,8,7,0,8,0,0,7,0,0,0,0,2,6,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
KLF10_MA1511.2,0,123,56,0,113,0,53,53,0,0,0,38,0,0,21,28,95,95,0,70,0,0,27,52,49,0,39,0,43,0,0,0,0,0,78,0,55,0,0,39,0,0,69,0,52,0,0,0,0,81,0,64,0,115,0,0,0,35,0,0,0,76,0,0,0,83,0,0,0,112,15,58,0,0,29,0,112,0,0,0,0,0,0,0,0,79,23,0
POU5F1_M08141_2.00,0,0,0,0,10,0,0,9,0,0,0,0,0,0,0,0,0,0,11,0,18,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,17,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0
GABPA_M07953_2.00,0,24,9,0,26,0,0,0,0,0,0,16,0,0,0,14,0,15,0,9,26,0,0,23,23,0,18,0,10,0,0,0,0,0,0,0,22,0,0,16,0,0,26,12,23,0,16,0,0,0,0,0,0,0,28,0,0,20,0,0,30,30,0,0,0,22,0,0,0,0,4,23,0,0,14,0,31,0,0,0,0,0,0,0,0,0,11,0
RELA_M08003_2.00,0,37,0,0,0,0,18,11,0,0,14,14,0,0,0,0,26,0,32,19,0,0,0,21,21,0,28,0,9,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,28,19,0,0,0,0,0,9,0,0,0,0,0,17,0,0,0,44,0,40,0,20,0,0,0,0,0,19,0,0,0,23,0,0,0,0,0,0,0,0,0,0,10,0
TWIST1_MA1123.2,0,0,4,0,34,0,0,17,0,0,0,14,0,0,9,0,0,23,0,24,0,0,0,25,27,0,29,0,0,0,0,0,0,0,0,0,28,0,0,21,0,0,39,0,22,0,0,0,0,0,0,15,0,0,0,0,0,22,28,0,0,29,0,0,0,25,0,0,0,0,0,26,0,0,0,0,54,0,0,0,0,0,0,0,0,26,0,0
